location,qty_mar,cost_mar,qty_jun,cost_jun,qty_change,cost_change
Aged WIP,3532793.9200000004,3605349.46,4182004.2600000002,6287830.86,649210.3399999999,2682481.4000000004
Finished Goods,124481.44,50315500.37,124543.44,50350728.239999995,62.0,35227.86999999732
