,part_no,description_mar,on_hand_mar,total_cost_mar,excess_mar,excess_cost_mar,description_jun,on_hand_jun,total_cost_jun,excess_jun,excess_cost_jun,on_hand_change,total_cost_change,excess_change,excess_cost_change
2068,RM34012,BACK PLATE,5.0,,1.0,700.0,BACK PLATE,5.0,,0.0,0.0,0.0,0.0,-1.0,-700.0
2078,036795,O RING SEAL - 15 IN I/D,42.0,,12.0,40.385712,O RING SEAL - 15 IN I/D,42.0,,10.0,33.65476,0.0,0.0,-2.0,-6.730951999999995
2083,CT450A/20,ROUND JOINT - 38MM I/D,231.0,,174.0,231.999942,ROUND JOINT - 38MM I/D,227.0,,166.0,221.138394,-4.0,0.0,-8.0,-10.861547999999999
2109,TA54638A,,,,,,JOINT,46.0,,18.0,255.60783,46.0,0.0,18.0,255.60783
2131,CT450A/48,ROUND JOINT - 57MM I/D,19.0,,13.0,33.8,ROUND JOINT - 57MM I/D,18.0,,11.0,28.6,-1.0,0.0,-2.0,-5.199999999999996
2139,RT13018,CAPTIVE NUT(STAGE 2),145.0,,145.0,1581.97001,CAPTIVE NUT(STAGE 2),144.0,,144.0,1558.71,-1.0,0.0,-1.0,-23.260009999999966
2265,036616,BONDED SEAL - 3/4 BSP,118.0,,1.0,1.069322,BONDED SEAL - 3/4 BSP,117.0,,0.0,0.0,-1.0,0.0,-1.0,-1.069322
2268,503677,BOLT,170.0,,170.0,6.8,BOLT,165.0,,163.0,6.52,-5.0,0.0,-7.0,-0.28000000000000025
2272,506814,O RING SEAL - 2.3/4 I/D,93.0,,23.0,23.912571,O RING SEAL - 2.3/4 I/D,89.0,,15.0,15.48708,-4.0,0.0,-8.0,-8.425491
2283,036719,O RING SEAL - 1 IN I/D,47.0,,16.0,19.2,O RING SEAL - 1 IN I/D,41.0,,7.0,8.4,-6.0,0.0,-9.0,-10.799999999999999
2290,036724,O RING SEAL - 1.5/16 I/D,53.0,,7.0,8.4,O RING SEAL - 1.5/16 I/D,51.0,,3.0,3.6,-2.0,0.0,-4.0,-4.800000000000001
2296,506857,O RING SEAL - 1.7/8 I/D,80.0,,32.0,34.84,O RING SEAL - 1.7/8 I/D,78.0,,28.0,30.18974,-2.0,0.0,-4.0,-4.650260000000003
2298,506880,O RING SEAL - 2.1/4 I/D,45.0,,24.0,33.6,O RING SEAL - 2.1/4 I/D,45.0,,20.0,28.0,0.0,0.0,-4.0,-5.600000000000001
2354,CT190D/8,TAPPED DOWEL  10MM NOM X 23.3,138.0,,43.0,1470.6,,,,,,-138.0,0.0,-43.0,-1470.6
2356,CT645A/32,DOWEL 3/32 DIA X 21/32,226.0,,34.0,69.471316,,,,,,-226.0,0.0,-34.0,-69.471316
2357,CT645A/33,DOWEL 3/32 DIA X 12/32,198.0,,17.0,32.655453,,,,,,-198.0,0.0,-17.0,-32.655453
2358,CT645A/34,DOWEL 3/32 DIA X 11/16,236.0,,70.0,130.15254,,,,,,-236.0,0.0,-70.0,-130.15254
